"cliente_id","apellido","created_at","direccion","email","estado","fecha_nacimiento","nombre","telefono","updated_at","tenant_id"
"1","General","2023-06-02 00:00:00","Sin dirección","cliente@general.com",True,"2020-10-15 00:00:00","Cliente","+591 70000001","2023-06-02 00:00:00","1"
"2","Cantón","2023-11-20 12:21:43","Vial Maite Calatayud 719, Albacete, 07140","feliciana.cantón@gmail.com",True,"1970-04-02 00:00:00","Feliciana","+34 982908386","2024-01-15 12:21:43","1"
"3","Sanchez","2023-08-17 19:34:43","Ronda Noé Lobo 63, Ávila, 25898","isidro.sanchez@hotmail.com",True,"1978-11-06 00:00:00","Isidro","+34924940781","2023-10-02 19:34:43","1"
"4","Pinedo","2023-10-08 00:44:48","Avenida Artemio Goñi 41 Apt. 64 , Santa Cruz de Tenerife, 24909","ágata.pinedo@gmail.com",True,"1979-08-11 00:00:00","Ágata","+34926 341 928","2023-10-24 00:44:48","1"
"5","Hierro","2025-05-12 22:44:44","Paseo de Isidoro Morata 4 Apt. 56 , Asturias, 14826","luisina.hierro@gmail.com",True,"1993-01-06 00:00:00","Luisina","+34913767242","2025-06-13 22:44:44","1"
"6","Jódar","2024-03-28 13:14:14","Urbanización de Emiliano Vergara 11 Apt. 22 , Pontevedra, 05163","jose manuel.jódar@hotmail.com",True,"1980-05-22 00:00:00","Jose Manuel","+34975 84 80 18","2024-05-15 13:14:14","1"
"7","Lasa","2025-04-09 20:17:49","Ronda de Fausto Santiago 5, Málaga, 07973","maricela.lasa@hotmail.com",True,"1996-12-20 00:00:00","Maricela","+34900 89 32 52","2025-04-20 20:17:49","1"
"8","Abascal","2025-02-26 12:25:50","Via Úrsula Parejo 13 Apt. 91 , Toledo, 32849","calista.abascal@hotmail.com",True,"1959-02-17 00:00:00","Calista","+34986 22 78 24","2025-03-30 12:25:50","1"
"9","Rocha","2023-11-29 10:18:15","Acceso de Urbano Villar 41 Apt. 15 , Palencia, 37301","belén.rocha@gmail.com",True,"1994-06-18 00:00:00","Belén","+34876 010 310","2024-01-26 10:18:15","1"
"10","Murillo","2024-10-27 12:59:00","Glorieta de Calista Catalán 497 Piso 6 , Badajoz, 07352","rosalina.murillo@gmail.com",True,"1983-10-02 00:00:00","Rosalina","+34 926 66 70 10","2024-11-02 12:59:00","1"
"11","Nicolau","2024-05-12 21:12:37","Paseo Vidal Checa 52, Ciudad, 05940","samuel.nicolau@gmail.com",True,"1991-11-14 00:00:00","Samuel","+34825080132","2024-07-06 21:12:37","1"
"12","Torralba","2024-01-20 03:41:22","Rambla Reynaldo Abril 84 Piso 6 , Burgos, 13445","santos.torralba@yahoo.com",True,"1969-03-26 00:00:00","Santos","+34807 98 05 00","2024-02-29 03:41:22","1"
"13","Tapia","2023-07-04 13:29:34","Rambla Bruno Bayo 26, Palencia, 39962","daniela.tapia@hotmail.com",True,"1996-07-26 00:00:00","Daniela","+34822 69 98 54","2023-07-23 13:29:34","1"
"14","Miralles","2023-11-16 06:08:20","Cañada Zacarías Molina 1 Piso 9 , Asturias, 36234","hernando.miralles@gmail.com",True,"1988-11-04 00:00:00","Hernando","+34 884251354","2024-01-08 06:08:20","1"
"15","Ríos","2024-09-15 11:29:59","Via de Selena Cañizares 21, Cuenca, 19465","fausto.ríos@hotmail.com",True,"1968-10-02 00:00:00","Fausto","+34924 348 740","2024-10-25 11:29:59","1"
"16","Roda","2023-08-29 14:08:06","Vial de Febe Juárez 97, Navarra, 01633","cirino.roda@yahoo.com",True,"1959-07-17 00:00:00","Cirino","+34 845 80 59 82","2023-09-30 14:08:06","1"
"17","Castell","2025-02-13 23:37:46","Acceso Humberto Iborra 6 Puerta 6 , Ciudad, 11649","tito.castell@gmail.com",True,"1966-06-20 00:00:00","Tito","+34 947 02 56 34","2025-03-23 23:37:46","1"
"18","Campoy","2025-04-05 01:21:41","Glorieta Olga Seguí 44 Apt. 03 , Guipúzcoa, 19258","feliciano.campoy@yahoo.com",True,"1959-02-22 00:00:00","Feliciano","+34886 586 850","2025-04-17 01:21:41","1"
"19","Julián","2023-10-29 07:58:47","Ronda Onofre Mir 99, Jaén, 38787","david.julián@gmail.com",True,"1971-10-03 00:00:00","David","+34803 608 835","2023-11-07 07:58:47","1"
"20","Becerra","2024-11-01 03:50:15","Cañada Anunciación Mendoza 75 Puerta 4 , Cantabria, 28554","tomás.becerra@hotmail.com",True,"1980-03-21 00:00:00","Tomás","+34849994680","2024-11-24 03:50:15","1"
"21","Madrid","2023-12-03 02:55:21","Pasaje de Vasco García 272 Piso 8 , Ávila, 50226","marco.madrid@gmail.com",True,"2000-03-15 00:00:00","Marco","+34902 33 20 03","2024-01-20 02:55:21","1"
